Code,Name,결산월,상장일,60개월베타,60개월로그베타,시가총액,시가총액,자본총계,자산총계,자산총계,우선주자본금,"P/E(Adj., FY End)","P/B(Adj., FY End)","P/S(Adj., FY End)",EV/EBITDA,매출액,매출총이익,영업이익,당기순이익,ROA,ROA,ROE,ROIC,영업활동으로인한현금흐름,영업활동으로인한현금흐름,비유동부채,비유동부채,자산총계,자산총계,유동비율,유동비율,매출총이익률,매출총이익률,총자산회전율,총자산회전율,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
A000480,조선내화,12,19780630,0.943586,0.986362,408,314,1287.51,295527866,284905421,,4.3,0.29,0.18,3.13,220998721,38683242,26351181,94.78,1.51,3.27,7.36,8.69,412.99,360.91,51021547,44372516,2955.28,2849.05,85.94,78.17,17.68,17.5,0.85072,0.7615,7850,7350,7850,9280,7650,7900,8350,7930,8450,9200,9490,9550,9800
A000490,대동공업,12,19750627,0.921034,0.989638,427.11,268.13,1465.74,280394280,266744717,,5.73,0.25,0.15,2.17,292869024,69016128,19173903,74.55,0.59,2.73,5.4,5.98,338.26,215.53,43558004,41870816,2803.94,2667.45,100.01,128.52,18.03,23.57,1.11314,1.07055,1130,1150,1270,1230,1160,1148,1078,1106,1160,1040,1084,1284,1620
A000500,가온전선,12,19870608,1.181864,1.223371,232.44,184.86,1202.08,277935730,241911184,,3.49,0.19,0.09,3.65,246704384,16005296,-1558657,66.74,0.21,2.57,5.61,-2.31,78.41,25.71,23335206,14412195,2779.36,2419.11,105.41,103.56,8.97,6.49,0.98532,0.94914,4453,4387,5477,5787,5486,4274,4105,4514,4913,4091,4500,5308,5580
A000520,삼일제약,12,19850529,1.003156,0.952853,110.66,129.46,165.51,38132666,38912091,,3.89,0.67,0.3,2.87,36764439,21230325,6340440,28.36,6.23,7.36,18.5,19.29,40.83,62.86,7648190,6114272,381.33,389.12,145.72,156.01,58.67,57.75,0.88988,0.95437,2257,2348,2439,2913,2276,3122,2640,3606,4170,3807,3539,4476,5193
A000540,흥국화재,12,19741205,1.180999,1.150426,510.83,274.9,1346.72,931545384,959306977,46.08,3.84,0.36,0.05,-4.35,902013174,,10672192,110.96,0.46,1.17,10.58,,948.58,-728.08,,,9315.45,9593.07,,,0,0,1.12754,0.95408,6328,6588,6376,5667,5431,5431,4368,6021,6411,5077,5195,7840,12350
A000590,CS홀딩스,12,19751222,1.09341,1.099111,105,84.9,294.21,59546616,54304256,,2.97,0.4,0.21,2.5,55565051,14617318,9457854,40.09,18.48,7.04,14.66,12.78,118.03,46.64,3928193,3000396,595.47,543.04,101.54,81.03,19.72,26.31,0.90037,0.9761,16044,13606,14796,15703,15874,17801,15874,17971,19729,25511,21883,21656,23754
A000610,제일화재,3,19760605,0.616338,0.661162,373.17,200.29,427.51,918925580,977635497,,1.32,0.52,0.03,-2.6,870805517,,21161193,189.62,0.44,2,35.13,,450.66,235.27,,,9189.26,9776.35,,,0,0,1.05154,0.9183,3162,2862,2757,3385,2561,1822,1221,2010,2410,1720,1535,1850,2280
A000640,동아쏘시오홀딩스,12,19700210,1.130125,1.121856,1703.44,1716.86,1823.39,437205995,446204776,,13.71,0.98,0.56,6.59,342746684,145688992,28663877,141.12,3.8,3.2,8.24,6.21,-123.41,721.45,70392277,112519654,4372.06,4462.05,117.84,138.99,42.1,42.51,0.81637,0.77596,18281,17910,18652,19116,16239,14198,11182,13871,14154,13919,14060,17740,16608
A000650,천일고속,12,19770623,0.355487,0.425115,160,92.33,139.98,39763031,35950329,,13.17,1.22,0.37,3.8,43732545,12498561,1613629,12.2,1.58,3.22,9.16,5.73,59.87,55.08,9945553,6832374,397.63,359.5,45.91,47.3,22.02,28.58,1.09689,1.15521,6484,6551,9751,7891,7481,7891,7779,8748,9064,9615,8985,9261,8669
A000660,SK하이닉스,12,19961226,0.687543,0.734745,84093.3,107894.2,85360.08,12517754186,20388596698,,26.03,1.25,0.97,7.98,6011990484,1376524808,646124680,2243.54,-1.25,1.36,4.15,-1.09,13366.64,12102.97,6941154123,7029660779,125177.54,203885.97,70.75,55.12,10.22,22.9,0.37945,0.3654,462000,365400,426300,334950,146790,143640,84525,122850,78750,66255,71085,91140,58695
A000670,영풍,12,19760612,0.468881,0.460288,1059.17,974.44,5677.48,511772282,756604210,,5.31,0.18,0.53,2.68,199025260,28243379,16567232,199.56,2.33,3.15,4.38,6.88,430.85,320.01,104653981,105634721,5117.72,7566.04,158.33,113.29,8.24,14.19,0.52141,0.31383,52900,50500,54000,51700,51000,51100,55000,52100,51600,51200,51500,53000,51000
A000680,LS네트웍스,12,19731115,1.189024,1.07838,121.13,37.28,-2901.48,442824405,425168426,18.52,-0.42,-0.08,0.12,11.1,186919485,64028935,27001880,-559.86,-42.37,-12.9,20.41,37.19,-107.07,409.24,375961819,292681534,4428.24,4251.68,42.97,41.86,9.91,34.26,0.32081,0.43069,5496,5399,7484,4860,3535,3314,2568,3618,3562,2996,3107,3866,3521
A000700,유수홀딩스,12,19560303,1.049472,1.104826,3606.57,2474.61,8502.48,4402100468,4757440950,,2.46,0.22,0.02,3.69,4008718914,421645681,240970949,367.98,0.54,0.8,6.18,0.55,930.68,3088.81,2666133935,2953924086,44021,47574.41,59.94,92.04,7.76,10.52,0.91133,0.87531,950,959,1002,874,784,829,945,927,866,766,772,1002,1065
A000720,현대건설,12,19841222,0.88001,0.873464,13149.25,11045.44,23248.04,8568636101,9283989754,267.95,-7.01,0.49,0.15,13.29,5726955538,600525572,313890089,-1208.55,0.54,-1.35,-6.58,4.09,7017.22,-1122.2,2995238882,2907339907,85686.36,92839.9,132,137.44,12.04,10.49,0.64646,0.64158,226877,143362,162677,121056,75082,89227,67737,143634,120784,50054,33732,46790,45702
A000760,이화산업,12,19940429,0.712666,0.738621,221.2,263.48,662.38,105994811,98409956,,18.61,0.54,0.42,9.3,86059178,11567801,4109889,19.26,3.58,1.88,2.94,4.53,236.42,-124.49,13511706,5268404,1059.95,984.1,264.98,259.74,19.67,13.44,0.7975,0.84205,9410,9800,11400,12400,11500,13000,15350,17200,20800,20500,17650,21000,19300
A000790,C&상선,12,19771109,0.417199,0.518959,6.88,8.42,178.62,80639842,68556239,,1.42,0.04,0.01,-0.06,55533199,5030071,2806855,4.93,-5.35,0.66,3.78,13.53,39.27,46.59,56365587,42798094,806.4,685.56,66.7,104.69,10.05,9.06,0.59185,0.74443,1520,1639,6132,3810,2534,3004,1905,2269,3000,3350,4165,5140,5193
A000800,경남기업,12,19730212,1.065282,0.971198,145.64,273.28,750.5,1129538269,531285183,,-0.11,0.19,0.03,-1.27,421721880,-33697537,-108032378,-1380.09,0.14,-16.62,-86.96,-72.65,-266.22,1141.85,488458979,94253527,11295.38,5312.85,155.2,109.95,11.26,-7.99,0.41022,0.50785,16520,16520,19070,14940,10811,10628,8928,13483,15183,18099,17370,25265,23200
A000810,삼성화재,12,19750630,1.274514,1.067749,13270.2,15377.5,16564.69,5642805132,7295601533,16.71,9.05,0.85,0.28,3.45,4467041363,,112835279,1399.25,1.93,2.16,12.31,,-3328.43,-176.7,,,56428.05,72956.02,,,0,0,0.96303,0.69051,31000,25900,29600,29000,26400,29500,27500,36500,36100,30700,35400,39600,41550
A000830,삼성물산,12,19751212,1.357642,1.252897,26424.04,14937.35,31109.13,7082893396,8265949494,232.43,34.18,0.86,0.07,12.7,35325689368,1025955316,339906527,702.94,0.85,0.92,2.96,10.13,-3573.08,4518.26,2326203134,1822849929,70828.93,82659.49,115,109.67,2.45,2.9,4.56091,4.60304,9610,10300,10050,7700,6300,5850,5150,7130,7150,5720,6250,8000,7500
A000850,화천기공,12,19991118,-0.936877,-0.997051,233.52,258.72,348.33,69493967,83714753,,6.62,0.67,0.3,4.3,57143293,13122045,6175420,26.31,3.3,3.43,8.39,14.23,51.21,-43.8,27952695,30311254,694.94,837.15,298.66,277.59,24.13,22.96,0.70569,0.74595,11787,11863,10715,8419,9414,7807,7654,7616,8649,7501,7248,7531,7386
A000860,강남제비스코,12,19751112,0.880472,0.813037,268.18,214.55,1387.85,168814042,256902450,,3.01,0.19,0.18,2.63,151747857,23657389,7392928,89.13,12.13,4.19,8.18,3.24,151.44,340.96,53107310,71140203,1688.14,2569.02,204.79,160.05,23.89,15.59,0.8003,0.71291,3303,3145,3183,3168,3303,3243,3348,3251,3393,3348,3183,3363,3498
A000880,한화,12,19760624,1.506917,1.334294,5582.58,2380.9,15022.59,2936135373,3525302748.97,28.34,2.34,0.36,0.21,4.05,2294315633.55,297565515.14,135359540.32,2070.93,-4.2,6.41,16.15,8.52,1274.77,1126.09,438218889,922243447.12,29361.35,35253.03,59.63,73.84,12.81,12.97,0.91072,0.71016,3093,3502,3405,2996,2135,2189,2714,3016,3016,2437,2734,2918,2889
A000890,보해양조,12,19880923,1.236097,1.075236,226.86,181.49,1000.01,198387349,243861936,0.13,2.72,0.23,0.17,2.33,137091917,73517980,25927730,83.3,2.07,3.77,10.14,12.19,113.06,276.85,34738378,22356257,1983.87,2438.62,65.21,71.57,48.27,53.63,0.63359,0.61998,793,734,721,736,770,693,634,700,722,737,698,759,712
A000910,유니온,12,19960703,0.742573,0.801336,200.85,122.44,328.84,77556694,81227212,,5.37,0.58,0.35,3.93,57667195,14858310,7496601,37.58,1.36,4.73,11.97,9.84,73.52,68.42,12863990,20346458,775.57,812.27,82,111.41,27.68,25.77,0.64708,0.72636,786,719,730,900,646,609,627,697,784,729,733,725,759
